mmsi,dataset,label,count
205369390,Training,Cargo/Tanker,1
205370590,Training,Cargo/Tanker,1
205372190,Test,Cargo/Tanker,1
205372490,Test,Cargo/Tanker,1
205381890,Test,Cargo/Tanker,1
205390790,Test,Cargo/Tanker,1
205391990,Test,Cargo/Tanker,1
205393000,Training,Tug/Pilot/Supply,14
205393190,Training,Cargo/Tanker,1
205394390,Test,Cargo/Tanker,1
205396000,Training,Cargo/Tanker,1
205397000,Training,Cargo/Tanker,1
205400000,Test,Cargo/Tanker,1
205402090,Training,Cargo/Tanker,1
205402790,Test,Cargo/Tanker,1
205414000,Test,Tug/Pilot/Supply,14
205415000,Training,Tug/Pilot/Supply,13
205415690,Test,Cargo/Tanker,1
205416000,Training,Tug/Pilot/Supply,14
205417000,Training,Tug/Pilot/Supply,13
205419690,Training,Cargo/Tanker,1
205421290,Training,Cargo/Tanker,1
205423290,Test,Cargo/Tanker,2
205434190,Test,Cargo/Tanker,1
205435990,Test,Cargo/Tanker,2
205448890,Test,Cargo/Tanker,1
205450000,Test,Cargo/Tanker,2
205450690,Training,Cargo/Tanker,1
205451000,Training,Cargo/Tanker,1
205452000,Test,Passenger,14
205452690,Training,Cargo/Tanker,1
205453000,Test,Cargo/Tanker,1
205453690,Test,Cargo/Tanker,1
205454000,Training,Tug/Pilot/Supply,14
205455590,Test,Cargo/Tanker,1
205457590,Test,Cargo/Tanker,1
205461000,Test,Cargo/Tanker,1
205462000,Test,Cargo/Tanker,1
205464990,Training,Cargo/Tanker,1
205466000,Training,Tug/Pilot/Supply,14
205469190,Test,Cargo/Tanker,1
205471090,Test,Cargo/Tanker,1
205475000,Training,Tug/Pilot/Supply,14
205475290,Training,Cargo/Tanker,1
205476000,Training,Cargo/Tanker,1
205476390,Training,Cargo/Tanker,1
205477290,Training,Cargo/Tanker,1
205480000,Test,Passenger,14
205483000,Training,Tug/Pilot/Supply,14
205484000,Training,Tug/Pilot/Supply,14
205488290,Test,Cargo/Tanker,1
205490090,Training,Cargo/Tanker,2
205491290,Test,Cargo/Tanker,1
205492690,Training,Cargo/Tanker,1
205495690,Test,Cargo/Tanker,1
205498490,Test,Cargo/Tanker,1
205501290,Training,Cargo/Tanker,1
205502390,Test,Cargo/Tanker,1
205503990,Training,Cargo/Tanker,1
205504390,Training,Cargo/Tanker,1
205505090,Training,Cargo/Tanker,1
205505590,Training,Cargo/Tanker,1
205505790,Training,Cargo/Tanker,1
205508590,Training,Cargo/Tanker,1
205509000,Test,Cargo/Tanker,1
205509290,Test,Cargo/Tanker,1
205513890,Training,Cargo/Tanker,1
205513990,Test,Cargo/Tanker,1
205514990,Training,Cargo/Tanker,1
205515190,Test,Cargo/Tanker,1
205519000,Training,Cargo/Tanker,1
205532000,Training,Trawler,1
205539000,Training,Cargo/Tanker,1
205541000,Training,Tug/Pilot/Supply,13
205545000,Training,Tug/Pilot/Supply,13
205546000,Test,Tug/Pilot/Supply,13
205548000,Test,Cargo/Tanker,1
205558000,Test,Tug/Pilot/Supply,14
205565000,Test,Tug/Pilot/Supply,14
205566000,Training,Tug/Pilot/Supply,13
205575000,Test,Tug/Pilot/Supply,14
205586000,Test,Tug/Pilot/Supply,14
205595000,Training,Tug/Pilot/Supply,14
205596910,Test,Passenger,14
205600000,Training,Passenger,14
205618000,Test,Tug/Pilot/Supply,13
205619000,Training,Tug/Pilot/Supply,14
205621000,Training,Tug/Pilot/Supply,13
205626000,Training,Tug/Pilot/Supply,14
205627000,Test,Tug/Pilot/Supply,14
205628000,Test,Tug/Pilot/Supply,14
205632000,Test,Trawler,1
205634000,Training,Tug/Pilot/Supply,14
205636000,Training,Tug/Pilot/Supply,14
205642000,Training,Tug/Pilot/Supply,14
205644000,Test,Tug/Pilot/Supply,14
205831310,Training,Passenger,14
207133000,Training,Cargo/Tanker,1
207293000,Test,Trawler,1
207420000,Test,Trawler,1
207421000,Test,Trawler,1
207422000,Test,Trawler,1
207424000,Test,Trawler,1
207426000,Test,Trawler,1
207428000,Training,Trawler,1
207822570,Test,Trawler,1
207822650,Test,Trawler,1
207822660,Test,Trawler,1
207827320,Training,Trawler,1
207827350,Test,Trawler,1
207827790,Training,Trawler,1
207827920,Training,Trawler,1
207829360,Training,Trawler,1
207832280,Test,Trawler,1
207882640,Test,Trawler,1
209032000,Test,Cargo/Tanker,2
209047000,Test,Cargo/Tanker,1
209086000,Test,Cargo/Tanker,1
209108000,Training,Seismic,27
209177000,Training,Cargo/Tanker,1
209187000,Training,Cargo/Tanker,1
209188000,Test,Cargo/Tanker,1
209191000,Training,Cargo/Tanker,1
209204000,Training,Cargo/Tanker,2
209212000,Training,Trawler,1
209232000,Training,Longliner,4
209243000,Training,Cargo/Tanker,1
209250000,Training,Cargo/Tanker,1
209300000,Test,Cargo/Tanker,1
209322000,Test,Cargo/Tanker,1
209353000,Training,Trawler,1
209355000,Training,Cargo/Tanker,1
209361000,Test,Cargo/Tanker,1
209380000,Training,Cargo/Tanker,1
209394000,Training,Cargo/Tanker,1
209465000,Training,Longliner,3
209486000,Training,Cargo/Tanker,1
209499000,Training,Trawler,1
209587000,Training,Seismic,27
209605000,Test,Cargo/Tanker,1
209627000,Training,Cargo/Tanker,1
209632000,Training,Cargo/Tanker,1
209694000,Training,Cargo/Tanker,1
209719000,Test,Cargo/Tanker,1
209724000,Training,Cargo/Tanker,1
209745000,Training,Cargo/Tanker,1
209777000,Training,Cargo/Tanker,1
209792000,Test,Cargo/Tanker,1
209817000,Training,Cargo/Tanker,1
209819000,Training,Cargo/Tanker,1
209840000,Training,Cargo/Tanker,1
209854000,Training,Cargo/Tanker,1
209933000,Test,Cargo/Tanker,1
209979000,Training,Cargo/Tanker,1
210001000,Test,Cargo/Tanker,1
210008000,Training,Cargo/Tanker,1
210035000,Training,Cargo/Tanker,1
210122000,Training,Cargo/Tanker,1
210137000,Test,Cargo/Tanker,1
210193000,Training,Longliner,4
210228000,Training,Seismic,27
210261000,Test,Cargo/Tanker,1
210282000,Test,Cargo/Tanker,1
210333000,Test,Cargo/Tanker,1
210347000,Training,Cargo/Tanker,1
210380000,Test,Trawler,1
210409000,Training,Cargo/Tanker,1
210412000,Training,Cargo/Tanker,1
210439000,Training,Cargo/Tanker,1
210449000,Test,Cargo/Tanker,1
210452000,Test,Cargo/Tanker,2
210460000,Test,Longliner,3
210473000,Training,Cargo/Tanker,1
210479000,Test,Cargo/Tanker,1
210505000,Training,Cargo/Tanker,1
210582000,Test,Seismic,27
210595000,Training,Cargo/Tanker,2
210713000,Training,Cargo/Tanker,1
210716000,Training,Cargo/Tanker,1
210732000,Test,Trawler,1
210786000,Test,Cargo/Tanker,1
210894000,Training,Cargo/Tanker,1
210916000,Test,Cargo/Tanker,1
211104000,Training,Trawler,1
211118960,Training,Passenger,14
211123610,Training,Passenger,14
211131000,Training,Trawler,1
211140000,Training,Cargo/Tanker,2
211141000,Test,Cargo/Tanker,1
211149170,Test,Passenger,14
211149890,Training,Cargo/Tanker,1
211152000,Test,Trawler,1
211154000,Training,Trawler,1
211155000,Test,Trawler,1
211156000,Training,Trawler,1
211157000,Training,Trawler,1
211158000,Training,Trawler,1
211159000,Training,Trawler,1
211161000,Training,Trawler,1
211162000,Training,Trawler,1
211163700,Training,Cargo/Tanker,1
211164000,Test,Trawler,1
211166000,Training,Trawler,1
211168000,Training,Trawler,1
211170000,Training,Trawler,1
211174000,Training,Trawler,1
211174890,Test,Passenger,14
211176000,Test,Trawler,1
211178650,Training,Cargo/Tanker,1
211180000,Training,Trawler,1
211180740,Test,Cargo/Tanker,1
211180750,Test,Cargo/Tanker,1
211182000,Training,Trawler,1
211187000,Test,Trawler,1
211187040,Training,Cargo/Tanker,1
211189490,Training,Passenger,15
211191000,Training,Trawler,1
211196000,Training,Trawler,1
211198000,Training,Trawler,1
211199000,Test,Trawler,1
211202770,Training,Cargo/Tanker,1
211206910,Training,Passenger,15
211207270,Training,Trawler,1
211207760,Test,Cargo/Tanker,2
211212630,Test,Cargo/Tanker,1
211214200,Training,Trawler,1
211214670,Training,Cargo/Tanker,1
211214990,Test,Trawler,1
211216660,Training,Cargo/Tanker,1
211221440,Training,Cargo/Tanker,1
211224560,Training,Cargo/Tanker,1
211225410,Training,Cargo/Tanker,1
211226860,Training,Cargo/Tanker,1
211227510,Training,Trawler,1
211228200,Test,Cargo/Tanker,1
211231300,Test,Cargo/Tanker,1
211232180,Training,Passenger,15
211232350,Training,Cargo/Tanker,1
211232810,Test,Trawler,1
211234480,Training,Cargo/Tanker,1
211235880,Training,Cargo/Tanker,1
211238930,Training,Trawler,1
211241240,Training,Trawler,1
211243240,Training,Trawler,1
211245680,Training,Trawler,1
211245890,Test,Trawler,1
211256380,Training,Cargo/Tanker,1
211259270,Training,Trawler,1
211265530,Test,Cargo/Tanker,1
211265640,Training,Trawler,1
211267780,Training,Trawler,1
211270480,Training,Trawler,1
211271330,Training,Trawler,1
211272400,Test,Trawler,1
211279120,Training,Trawler,1
211280810,Test,Cargo/Tanker,1
211282560,Test,Trawler,1
211284350,Training,Cargo/Tanker,1
211286380,Test,Cargo/Tanker,1
211286440,Training,Cargo/Tanker,1
211286500,Training,Cargo/Tanker,1
211287590,Training,Trawler,1
211288860,Test,Trawler,1
211290000,Training,Trawler,1
211292280,Training,Trawler,1
211298640,Training,Trawler,1
211305290,Training,Cargo/Tanker,1
211307520,Training,Trawler,1
211310410,Test,Trawler,1
211312240,Test,Trawler,1
211313780,Test,Trawler,1
211314600,Training,Trawler,1
211314800,Training,Trawler,1
211314880,Training,Trawler,1
211314890,Training,Trawler,1
211314990,Test,Trawler,1
211315220,Test,Trawler,1
211315540,Training,Trawler,1
211315620,Training,Trawler,1
211315630,Training,Trawler,1
211315750,Test,Trawler,1
211315870,Training,Pots and traps,33
211316900,Training,Trawler,1
211317180,Test,Cargo/Tanker,1
211317290,Test,Trawler,1
211317420,Test,Passenger,14
211317720,Training,Trawler,1
211318730,Training,Trawler,1
211319400,Training,Trawler,1
211319670,Test,Trawler,1
211320460,Test,Trawler,1
211325200,Training,Trawler,1
211325290,Training,Trawler,1
211327930,Test,Passenger,14
211332630,Training,Trawler,1
211332750,Training,Trawler,1
211335760,Test,Cargo/Tanker,1
211339490,Training,Trawler,1
211341030,Test,Passenger,14
211342400,Test,Trawler,1
211344000,Test,Trawler,1
211351000,Test,Trawler,1
211363240,Test,Passenger,14
211363350,Test,Cargo/Tanker,1
211365280,Test,Trawler,1
211370000,Test,Trawler,1
211372620,Training,Cargo/Tanker,1
211373830,Test,Trawler,1
211376000,Training,Trawler,1
211378110,Training,Cargo/Tanker,1
211386440,Training,Trawler,1
211389510,Training,Trawler,1
211390480,Training,Trawler,1
211392000,Training,Trawler,1
211394200,Training,Cargo/Tanker,1
211400000,Training,Trawler,1
211402250,Training,Trawler,1
211402270,Training,Trawler,1
211403000,Training,Trawler,1
211410690,Test,Trawler,1
211411630,Test,Trawler,1
211411940,Training,Trawler,1
211414290,Test,Trawler,1
211415000,Training,Trawler,1
211416000,Test,Trawler,1
211420000,Training,Trawler,1
211421000,Training,Trawler,1
211424450,Test,Cargo/Tanker,1
211426000,Training,Trawler,1
211427000,Training,Trawler,1
211434550,Training,Cargo/Tanker,1
211438440,Test,Trawler,1
211439370,Training,Cargo/Tanker,1
211440000,Training,Trawler,1
211455300,Training,Cargo/Tanker,2
211458000,Training,Trawler,1
211459000,Test,Trawler,1
211462000,Training,Trawler,1
211468560,Training,Cargo/Tanker,1
211469000,Training,Trawler,1
211471880,Training,Cargo/Tanker,1
211474000,Test,Trawler,1
211476000,Test,Trawler,1
211476600,Test,Cargo/Tanker,1
211477000,Training,Trawler,1
211477410,Training,Cargo/Tanker,1
211477480,Training,Passenger,14
211483000,Training,Trawler,1
211483620,Training,Trawler,1
211484000,Test,Trawler,1
211485080,Training,Passenger,14
211485840,Test,Passenger,15
211486000,Test,Trawler,1
211489000,Test,Trawler,1
211490000,Training,Trawler,1
211492000,Training,Trawler,1
211492530,Training,Cargo/Tanker,1
211493000,Training,Trawler,1
211493410,Training,Cargo/Tanker,1
211493420,Training,Cargo/Tanker,1
211493450,Test,Cargo/Tanker,2
211495000,Training,Trawler,1
211501000,Training,Trawler,1
211502000,Training,Trawler,1
211504860,Training,Passenger,14
211505000,Training,Trawler,1
211507000,Test,Trawler,1
211507500,Test,Cargo/Tanker,1
211510290,Training,Trawler,1
211510910,Training,Cargo/Tanker,1
211511160,Test,Cargo/Tanker,1
211511750,Training,Cargo/Tanker,1
211511770,Test,Cargo/Tanker,2
211511920,Training,Cargo/Tanker,1
211513250,Training,Cargo/Tanker,1
211515000,Training,Trawler,1
211515210,Training,Cargo/Tanker,1
211515230,Training,Cargo/Tanker,1
211516000,Training,Trawler,1
211516260,Test,Trawler,1
211516530,Training,Trawler,1
211517000,Training,Cargo/Tanker,1
211517060,Test,Cargo/Tanker,1
211517200,Test,Trawler,1
211517230,Training,Trawler,1
211517250,Test,Trawler,1
211517600,Training,Cargo/Tanker,1
211517810,Test,Trawler,1
211519000,Training,Trawler,1
211520710,Training,Trawler,1
211521000,Training,Trawler,1
211522000,Training,Trawler,1
211523910,Training,Cargo/Tanker,1
211524000,Test,Trawler,1
211526000,Training,Trawler,1
211526530,Training,Passenger,14
211527000,Training,Trawler,1
211528000,Training,Trawler,1
211530000,Training,Trawler,1
211532000,Test,Trawler,1
211535000,Training,Trawler,1
211535140,Test,Trawler,1
211537960,Training,Cargo/Tanker,1
211544000,Training,Trawler,1
211544210,Training,Cargo/Tanker,1
211545000,Training,Trawler,1
211546000,Training,Trawler,1
211546580,Training,Cargo/Tanker,1
211549530,Training,Cargo/Tanker,1
211550000,Training,Trawler,1
211551000,Training,Trawler,1
211552000,Test,Trawler,1
211555000,Training,Trawler,1
211555730,Test,Cargo/Tanker,2
211555980,Training,Cargo/Tanker,1
211559000,Test,Trawler,1
211561000,Test,Trawler,1
211563000,Training,Trawler,1
211565000,Test,Trawler,1
211569350,Test,Passenger,14
211569800,Training,Passenger,14
211580000,Training,Cargo/Tanker,2
211586000,Training,Trawler,1
211587000,Training,Trawler,1
211588200,Test,Passenger,14
211588480,Training,Trawler,1
211590050,Test,Cargo/Tanker,1
211593750,Training,Trawler,1
211595000,Training,Trawler,1
211599000,Training,Trawler,1
211605000,Training,Trawler,1
211607000,Training,Trawler,1
211608000,Test,Trawler,1
211611000,Training,Cargo/Tanker,2
211615410,Test,Passenger,15
211617890,Training,Passenger,14
211618000,Training,Trawler,1
211623000,Test,Trawler,1
211625000,Test,Trawler,1
211626000,Training,Trawler,1
211631000,Training,Cargo/Tanker,1
211639000,Training,Trawler,1
211647800,Training,Trawler,1
211651000,Training,Cargo/Tanker,1
211651620,Test,Trawler,1
211653680,Test,Trawler,1
211658000,Training,Trawler,1
211666580,Test,Passenger,15
211667000,Training,Trawler,1
211667030,Training,Trawler,1
211670320,Test,Trawler,1
211671000,Training,Trawler,1
211671890,Training,Trawler,1
211676120,Training,Passenger,15
211679730,Test,Trawler,1
211680250,Test,Trawler,1
211691000,Test,Cargo/Tanker,1
211693000,Training,Cargo/Tanker,1
211699000,Test,Trawler,1
211728000,Test,Cargo/Tanker,1
211738000,Test,Cargo/Tanker,2
211771000,Training,Cargo/Tanker,1
211793000,Training,Trawler,1
211809000,Test,Cargo/Tanker,2
211815000,Training,Trawler,1
211824000,Training,Trawler,1
211855000,Training,Cargo/Tanker,1
212008000,Training,Cargo/Tanker,1
212037000,Test,Cargo/Tanker,2
212048000,Training,Cargo/Tanker,1
212068000,Training,Cargo/Tanker,2
212089000,Training,Cargo/Tanker,1
212109000,Training,Cargo/Tanker,1
212121212,Test,Longliner,3
212126000,Training,Cargo/Tanker,1
212157000,Test,Cargo/Tanker,1
212172000,Test,Cargo/Tanker,1
212204000,Test,Cargo/Tanker,1
212236000,Training,Cargo/Tanker,1
212250000,Training,Cargo/Tanker,1
212258000,Training,Cargo/Tanker,1
212275000,Test,Cargo/Tanker,1
212280000,Test,Cargo/Tanker,1
212344000,Test,Cargo/Tanker,1
212362000,Training,Cargo/Tanker,1
212375000,Training,Cargo/Tanker,1
212400000,Training,Cargo/Tanker,2
212422000,Training,Cargo/Tanker,1
212586000,Training,Cargo/Tanker,1
212602000,Test,Cargo/Tanker,1
212636000,Training,Cargo/Tanker,1
212644000,Training,Cargo/Tanker,1
212675000,Training,Cargo/Tanker,1
212706000,Test,Cargo/Tanker,1
212711000,Training,Cargo/Tanker,1
212723000,Training,Cargo/Tanker,1
212735000,Test,Cargo/Tanker,1
212808000,Training,Cargo/Tanker,2
212865000,Training,Cargo/Tanker,2
212871000,Training,Cargo/Tanker,1
212882000,Training,Cargo/Tanker,1
212899000,Training,Trawler,1
212925000,Training,Cargo/Tanker,1
212946000,Test,Cargo/Tanker,1
212947000,Test,Cargo/Tanker,1
212949000,Training,Cargo/Tanker,1
214181615,Test,Cargo/Tanker,1
215000770,Test,Trawler,1
215000780,Test,Trawler,1
215064000,Test,Cargo/Tanker,1
215083000,Training,Cargo/Tanker,1
215120000,Test,Cargo/Tanker,1
215190000,Training,Cargo/Tanker,1
215242000,Test,Cargo/Tanker,1
215308000,Training,Passenger,14
215381000,Training,Cargo/Tanker,1
215391000,Training,Cargo/Tanker,1
215439000,Training,Cargo/Tanker,1
215520000,Test,Cargo/Tanker,1
215522000,Test,Cargo/Tanker,1
215631000,Test,Cargo/Tanker,2
215736000,Training,Cargo/Tanker,1
215739000,Test,Cargo/Tanker,2
215740000,Training,Cargo/Tanker,1
215772000,Training,Cargo/Tanker,1
215795000,Training,Cargo/Tanker,1
215929000,Test,Cargo/Tanker,1
215953000,Training,Cargo/Tanker,1
215964000,Test,Cargo/Tanker,1
218007000,Training,Trawler,1
218023000,Training,Cargo/Tanker,1
218024000,Training,Cargo/Tanker,1
218025000,Training,Cargo/Tanker,1
218066000,Training,Trawler,1
218082000,Test,Cargo/Tanker,1
218087000,Test,Cargo/Tanker,1
218098000,Training,Cargo/Tanker,1
218104000,Test,Trawler,1
218125000,Test,Trawler,1
218132000,Test,Cargo/Tanker,1
218140000,Test,Trawler,1
218162000,Test,Trawler,1
218264000,Training,Trawler,1
218299000,Test,Trawler,1
218325000,Test,Trawler,1
218359000,Test,Trawler,1
218363000,Training,Trawler,1
218367000,Test,Trawler,1
218415000,Test,Cargo/Tanker,1
218442000,Test,Trawler,1
218509000,Training,Cargo/Tanker,1
218556000,Training,Trawler,1
218627000,Test,Cargo/Tanker,1
218649000,Test,Cargo/Tanker,1
218744000,Test,Cargo/Tanker,1
218760000,Test,Cargo/Tanker,1
218764000,Training,Cargo/Tanker,1
218777000,Training,Cargo/Tanker,1
218799000,Test,Trawler,1
219000612,Training,Cargo/Tanker,1
219000617,Training,Trawler,1
219000618,Training,Trawler,1
219000737,Training,Cargo/Tanker,1
219000855,Training,Trawler,1
219000895,Training,Trawler,1
219000897,Test,Trawler,1
219001039,Test,Trawler,1
219001125,Test,Trawler,1
219001149,Training,Trawler,1
219001181,Training,Trawler,1
219001189,Test,Trawler,1
219001265,Training,Trawler,1
219001275,Test,Trawler,1
219001343,Training,Trawler,1
219001518,Training,Trawler,1
219001522,Training,Trawler,1
219001549,Test,Trawler,1
219001559,Training,Trawler,1
219001624,Training,Trawler,1
219001664,Training,Trawler,1
219001976,Test,Trawler,1
219002005,Test,Trawler,1
219002023,Training,Trawler,1
219002047,Test,Trawler,1
219002051,Training,Trawler,1
219002149,Test,Trawler,1
219002157,Test,Trawler,1
219002251,Test,Trawler,1
219002368,Test,Trawler,1
219002409,Test,Trawler,1
219002506,Training,Trawler,1
219002585,Test,Trawler,1
219002827,Test,Trawler,1
219002838,Training,Trawler,1
219002881,Training,Trawler,1
219003452,Training,Cargo/Tanker,2
219003966,Training,Cargo/Tanker,1
219004043,Test,Trawler,1
219004128,Training,Trawler,1
219004161,Test,Trawler,1
219004242,Training,Trawler,1
219004264,Test,Trawler,1
219004307,Training,Trawler,1
219004472,Training,Trawler,1
219004473,Test,Trawler,1
219005286,Test,Trawler,1
219005502,Test,Trawler,1
219005583,Training,Trawler,1
219005659,Training,Trawler,1
219005863,Training,Trawler,1
219005867,Training,Trawler,1
219005878,Test,Trawler,1
219005921,Test,Trawler,1
219005941,Training,Trawler,1
219005954,Test,Trawler,1
219005964,Training,Trawler,1
219005968,Training,Trawler,1
219005997,Training,Trawler,1
219006005,Test,Trawler,1
219006023,Training,Trawler,1
219006092,Training,Trawler,1
219006111,Test,Trawler,1
219006116,Training,Trawler,1
219006157,Test,Trawler,1
219006382,Test,Trawler,1
219006655,Training,Trawler,1
219006824,Training,Trawler,1
219006835,Test,Trawler,1
219006971,Training,Trawler,1
219007027,Training,Trawler,1
219007034,Training,Trawler,1
219007036,Test,Trawler,1
219007234,Test,Trawler,1
219007235,Training,Trawler,1
219007269,Test,Trawler,1
219007314,Training,Trawler,1
219007432,Test,Trawler,1
219007944,Training,Trawler,1
219008474,Test,Trawler,1
219008927,Test,Trawler,1
219009041,Training,Trawler,1
219009229,Training,Trawler,1
219009244,Test,Trawler,1
219009274,Training,Trawler,1
219009413,Training,Trawler,1
219009415,Training,Trawler,1
219009599,Training,Trawler,1
219009738,Training,Trawler,1
219009907,Training,Trawler,1
219009961,Training,Trawler,1
219010252,Test,Cargo/Tanker,1
219010531,Test,Passenger,14
219010989,Training,Trawler,1
219011032,Test,Trawler,1
219011225,Training,Trawler,1
219011321,Test,Trawler,1
219011325,Test,Trawler,1
219011409,Training,Passenger,14
219011867,Training,Trawler,1
219012276,Training,Trawler,1
219012607,Training,Trawler,1
219012671,Training,Trawler,1
219012713,Training,Passenger,14
219013001,Test,Trawler,1
219013178,Test,Trawler,1
219013485,Test,Trawler,1
219013538,Test,Trawler,1
219013539,Training,Trawler,1
219013966,Test,Trawler,1
219014049,Training,Trawler,1
