mmsi,model_label,student_label,student_model_agreement,model_score,type,type_score,student_confidence,pybossa_url,othertext
227226520,Purse seine,not_fishing,0,0.84,36,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4585,
227297000,Longliner,not_fishing,0,0.73,38,0.900015762,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4586,
227338180,Trawler,not_fishing,0,0.77,36,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4588,
205250790,Purse seine,not_fishing,0,0.57,55,1,0.833333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4548,
210687000,Trawler,not_fishing,0,0.75,90,1,0.833333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4550,
211439790,Purse seine,not_fishing,0,0.61,36,1,0.833333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4552,
211543070,Longliner,not_fishing,0,0.55,37,1,0.833333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4554,
224014850,Purse seine,purse_seine,1,0.63,30,1,0.75,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4560,
271072496,Purse seine,purse_seine,1,0.79,30,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4148,
224047430,Trawler,trawler,1,0.76,30,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4564,
224239970,Longliner,longliner,1,0.57,30,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4573,
200000075,Trawler,not_fishing,0,0.52,50,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4109,
214182117,Trawler,reefer,0,0.5,70,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4112,
247149410,Longliner,trawler,0,0.51,30,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4135,
251415540,Purse seine,other,0,0.51,30,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4140,"handlines,baddata,"
265613880,Purse seine,not_fishing,0,0.64,49,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4146,
316026186,Purse seine,not_fishing,0,0.63,37,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4154,
413463160,Trawler,not_fishing,0,0.55,70,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4200,
413784172,Trawler,not_fishing,0,0.51,70,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4205,
413976922,Purse seine,not_fishing,0,0.68,70,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4211,
418197905,Trawler,not_fishing,0,0.86,70,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4223,
466161000,Purse seine,not_fishing,0,0.57,91,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4234,
525012084,Trawler,not_fishing,0,0.51,31,0.998058252,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4236,
205524010,Longliner,not_fishing,0,0.64,36,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4549,
224098360,Trawler,not_fishing,0,0.68,36,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4568,
224792000,Purse seine,longliner,0,0.79,99,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4577,
224854000,Longliner,trawler,0,1,99,0.995951417,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4578,
226011210,Purse seine,not_fishing,0,0.94,79,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4582,
227222590,Longliner,not_fishing,0,0.86,37,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4584,
