mmsi,shiptype,valid_from,valid_to,shipname,geartype,flag,callsign,imo,tonnage,length,national_id,rfmo_id,rank_name,notes,clav_VRMFID,clav_DateUpdated,clav_TUVI,clav_FlagCode,clav_ParentVesselTypeCode,clav_ParentVesselType,clav_VesselTypeCode,clav_GearTypeCode,clav_LengthTypeCode,clav_TonnageTypeCode,clav_PreviousName,clav_PreviousNameDate,clav_PreviousFlagCode,clav_PreviousFlagCodeDate,clav_AutStatus,clav_DateAutStart,clav_DateAutEnd,clav_DateAutTerm,clav_AutTermCode,clav_AutTermDescription,clav_AutTermReason,clav_URLID
440787000,Longliners,1/2/2012 19:51:10,12/31/2015 19:52:15,NO. 75 CHUNGYONG,Longlines (not specified),"Korea, Republic of",6NKL,8821503,423,49.9,9411012-6210000,AT000KOR00097,ICCAT,,7252,37:00.0,172,KOR,LO,Liners,LL,LL,LOA,GRT,No.55 Anyang,10/9/2013 4:23:49,,,Authorized,12/13/2010 18:00:00,12/30/2015 18:00:00,,,,,2829
416833000,Longliners,6/27/2014 5:10:09,12/24/2015 2:33:45,CHANG LI 1,Longlines (not specified),"Taiwan, Republic of China",BH3293,,498,53.15,CT6-1293,4778,CCSBT,,28020,00:00.0,5738,TWN,LO,Liners,LL,LL,LOA,GRT,,,,,Unauthorized,3/30/2009 15:00:00,3/29/2010 15:00:00,3/30/2010 8:00:00,2,Expiration of authorization,Explicit CLAV 'DROP' request,6183
227483000,Trawlers,8/1/2012 5:10:59,12/21/2015 9:48:53,KELIG FLORIAN,Bottom trawls,France,FHDB,8705149,131.08,22,FRA000642093,ATEU0FRA01955,ICCAT,,33568,49:16.0,31451,FRA,TO,Trawlers,TO,TB,LOA,GT,,,,,Authorized,12/31/2014 18:00:00,12/30/2015 18:00:00,,,,,27545
227317720,Trawlers,1/11/2012 2:27:13,12/22/2015 14:18:13,JULIARTH,Bottom trawls,France,FT2360,,92,24.95,FRA000528896,ATEU0FRA00553,ICCAT,,34094,20:25.0,28721,FRA,TO,Trawlers,TO,TB,LOA,GT,,,,,Authorized,12/31/2014 15:00:00,12/30/2015 15:00:00,,,,,17417
224215230,Purse seiners,6/13/2013 3:03:10,12/4/2015 17:16:19,NUEVO HERMANOS RABAL,Purse seines,Spain,EA4622,,47.99,22,ESP000026849,ATEU0ESP03250,ICCAT,,10059,28:30.0,20938,ESP,SO,Seiners,SP,PS,LOA,GT,,,,,Authorized,12/31/2010 15:00:00,12/30/2015 15:00:00,,,,,22654
224377000,Longliners,1/9/2012 18:20:50,12/30/2015 12:05:26,LOMBA MAURI,Drifting longlines,Spain,EA2480,,169,28,ESP000023223,IOTC000244,IOTC,,11606,12:44.0,1467,ESP,LO,Liners,LL,LLD,LOA,GT,,,,,Authorized,12/31/2014 15:00:00,12/30/2015 15:00:00,,,,,77903
440931000,Tuna longliners,1/1/2012 1:47:12,12/31/2015 21:19:57,ORYONG NO.733,Drifting longlines,"Korea, Republic of",6NSK,9041112,416,49.61,9903005-6260006,2164,WCPFC,,20934,46:25.0,901,KOR,LO,Liners,LLT,LLD,LOA,GT,NO. 726 ORYONG,8/8/2010 8:00:00,,,Authorized,6/26/2012 8:00:00,6/25/2017 8:00:00,,,,,
431182000,Tuna longliners,1/1/2012 9:09:19,6/29/2015 4:48:36,SHINCHO MARU NO.1,Drifting longlines,Japan,JDXU,,427,49.2,SO1-1282,345,WCPFC,,22213,36:29.0,574,JPN,LO,Liners,LLT,LLD,RGL,GRT,KEIFUKU MARU NO.2,3/30/2009 8:00:00,,,Unauthorized,7/22/2013 8:00:00,7/30/2017 8:00:00,6/11/2015 3:36:29,2,Expiration of authorization,Explicit CLAV 'DROP' request,
224001000,Tuna longliners,2/22/2012 16:13:46,8/13/2015 14:14:59,CARVISA TRES,Gear not known or not specified,Spain,EHKA,,249.33,34.27,ESP000015220,5278,WCPFC,,23945,23:11.0,92,ESP,LO,Liners,LLT,UNK,LOA,GRT,,,,,Unauthorized,12/31/2005 8:00:00,12/30/2020 8:00:00,9/11/2015 4:23:11,2,Expiration of authorization,Explicit CLAV 'DROP' request,
224123490,Unknown,3/6/2013 8:44:48,12/30/2015 16:11:24,PUIG NAULOS,Gear not known or not specified,Spain,EA5883,,94,26.9,ESP000020876,ATEU0ESP03402,ICCAT,,33098,17:43.0,30982,ESP,UNK,Unknown,UNK,UNK,LOA,GT,,,,,Expired,9/29/2012 17:00:00,9/29/2015 17:00:00,,,,,24020
271072268,Purse seiners,3/2/2013 7:30:13,12/30/2015 9:21:25,KAPTAN HACI YUNUS,Purse seines,Turkey,TC7267,,49,29,TUR001455193,AT000TUR00434,ICCAT,,8658,21:52.0,7282,TUR,SO,Seiners,SP,PS,LOA,GT,,,,,Authorized,8/31/2012 15:00:00,9/9/2016 15:00:00,,,,,2050
232008020,Trawlers,1/4/2012 6:42:57,12/31/2015 2:57:38,FARNELLA,Bottom trawls,United Kingdom,MZDB9,9211808,,40.2,GBR000C16926,ATEU0GBR00134,ICCAT,,10333,00:00.0,8316,GBR,TO,Trawlers,TO,TB,LOA,,,,,,Authorized,12/31/2005 18:00:00,12/30/2015 18:00:00,,,,,526
431671000,Tuna purse seiners,11/20/2013 0:03:22,12/31/2015 12:20:57,FUKUICHI MARU NO.112,Gear not known or not specified,Japan,JITS,,1093,57.85,SO1-1090,1886,WCPFC,,20659,33:03.0,12681,JPN,SO,Seiners,SPT,UNK,RGL,GRT,FUKUICHI MARU No.112,5/31/2014 19:39:04,,,Authorized,7/31/2012 8:00:00,7/30/2017 8:00:00,,,,,
357788000,Fish carriers,1/3/2012 10:11:32,12/31/2015 21:24:39,MIYABI,Gear not known or not specified,Panama,3FTI9,,1890,84.36,26679-00-B,IOTC013381,IOTC,,36969,18:09.0,24156,PAN,FO,Fish carriers,FO,UNK,LOA,GRT,MIYABI MARU,4/27/2011 6:39:47,JPN,4/26/2011 15:00:00,Unauthorized,7/31/2012 15:00:00,8/2/2012 2:18:09,8/2/2012 2:18:09,2,Expiration of authorization,Explicit CLAV 'DROP' request,45544
247142770,Non-fishing vessels nei,7/19/2012 8:26:49,12/19/2015 23:51:30,FILIPPOMARIA,Gear not known or not specified,Italy,IFIE,,199,25.97,ITA000024891,ATEU0ITA00349,ICCAT,,10848,43:57.0,8807,ITA,VOX,Non-fishing vessels nei,VOX,NK,LOA,GT,MAESTRALE,12/31/2005 18:00:00,,,Expired,12/31/2005 15:00:00,12/30/2014 15:00:00,,,,,943
367591580,Recreational fishing vessels,6/17/2014 17:58:07,12/28/2015 20:24:50,18 REELER,Recreational fishing gears,United States of America,WDH4603,,120,25,1252188,AT000USA01927,ICCAT,,33541,17:27.0,31424,USA,RO,Recreational fishing vessels,RO,RG,LOA,GRT,,,,,Authorized,12/28/2014 15:00:00,12/30/2015 15:00:00,,,,,27379
271069011,Unknown,11/21/2012 13:00:48,12/30/2015 11:01:50,AVCI BABA-2,Gear not known or not specified,Turkey,TC7221,,279,34.8,TUR001455098,AT000TUR00922,ICCAT,,34201,20:15.0,28828,TUR,UNK,Unknown,UNK,UNK,LOA,GRT,,,,,Expired,11/15/2014 15:00:00,9/1/2015 15:00:00,,,,,27727
316007587,Multipurpose vessels nei,1/1/2012 0:07:22,12/31/2015 14:38:43,PACIFIC VIKING,,Canada,CFC4341,,332.21,20.83,29608,7689,WCPFC,,39717,04:07.0,34332,CAN,MO,Multipurpose vessels,MOX,,UNK,GRT,,,,,Unauthorized,,5/31/2014 20:04:07,5/31/2014 20:04:07,2,Expiration of authorization,Explicit CLAV 'DROP' request,
440328000,Longliners,1/7/2015 23:21:05,10/15/2015 15:49:26,KWANG HYUN 801,Drifting longlines,"Korea, Republic of",6KCE,8921078,207,32.21,1411001-6261108,IOTC015912,IOTC,,42027,34:13.0,36644,KOR,LO,Liners,LL,LLD,LOA,GT,KATOA NO.1,2/12/2015 7:34:10,FJI,2/11/2015 15:00:00,Authorized,1/1/2015 15:00:00,12/31/2019 15:00:00,,,,,83015
440919000,Longliners,1/1/2012 6:01:37,12/31/2015 21:24:40,No.207 Ocean,Longlines (not specified),"Korea, Republic of",DTFC,8703854,411,49.91,9511020-6260008,AT000KOR00066,ICCAT,,7226,00:16.0,839,KOR,LO,Liners,LL,LL,LOA,GRT,NO.207 OCEAN,1/2/2009 18:00:00,,,Unauthorized,1/2/2009 18:00:00,1/1/2014 18:00:00,3/26/2015 9:00:16,2,Expiration of authorization,Explicit CLAV 'DROP' request,3013
247300850,Longliners,8/8/2013 10:42:16,12/22/2015 4:39:43,ALBA MADRE,Longlines (not specified),Italy,INPU,,72,22,ITA000018895,ATEU0ITA00923,ICCAT,,11198,23:54.0,20022,ITA,LO,Liners,LL,LL,LOA,GT,,,,,Authorized,12/31/2014 15:00:00,12/30/2015 15:00:00,,,,,8877
224623000,Longliners,1/11/2012 23:43:35,12/1/2015 5:47:04,TRONIO,Drifting longlines,Spain,ECJF,,1058,55,ESP000026469,IOTC003614,IOTC,,13181,12:56.0,1504,ESP,LO,Liners,LL,LLD,LOA,GT,,,,,Authorized,12/31/2014 15:00:00,12/30/2015 15:00:00,,,,,77956
224089000,Pole and Line vessels,3/22/2012 11:53:59,12/31/2015 23:49:08,KERMANTXO,Handline and pole-lines (mechanized),Spain,EAXI,,262,38.3,ESP000024677,IOTC007799,IOTC,,14439,12:59.0,1768,ESP,LO,Liners,LP,LHM,LOA,GT,,,,,Authorized,12/31/2014 15:00:00,12/30/2015 15:00:00,,,,,77977
432899000,Fishery research vessels,3/1/2013 0:30:48,11/21/2015 23:38:32,SHINKAI MARU,Drifting longlines,Japan,7JNI,9610274,999,61.46,SN1-201,IOTC015117,IOTC,,35301,28:21.0,29928,JPN,ZO,Fishery research vessels,ZO,LLD,LOA,GT,,,,,Unauthorized,3/12/2015 15:00:00,,3/18/2015 4:28:21,2,Expiration of authorization,Explicit CLAV 'DROP' request,77438
351747000,Fish carriers,1/4/2012 17:00:14,12/28/2015 20:36:11,FRIO AEGEAN I,,Panama,3FSS8,9196357,7355,126.39,25879-98-CH,11004,WCPFC,,41872,04:56.0,31527,PAN,FO,Fish carriers,FO,,LOA,GRT,ASIAN ORCHID,3/17/2014 15:00:00,,,Authorized,3/19/2014 8:00:00,3/19/2016 8:00:00,,,,,
431704520,Longliners,9/3/2012 3:49:10,12/31/2015 13:51:11,Koyo Maru No. 7,Longlines (not specified),Japan,JPTE,,409,49.9,MG1-1966,4653,IATTC,,4739,00:00.0,645,JPN,LO,Liners,LL,LL,LOA,GT,KOYO MARU NO. 7,2/21/2011 3:00:00,,,Authorized,,,,,,,
416072600,Longliners,3/7/2013 8:14:23,3/5/2015 21:07:11,CHUN FA NO. 168,Longlines (not specified),"Taiwan, Republic of China",BI2400,,,55.2,CT7-0400,8685,IATTC,,6102,00:00.0,166,TWN,LO,Liners,LL,LL,LOA,,,,,,Authorized,,,,,,,
431702850,Longliners,3/15/2015 12:00:09,12/31/2015 22:56:24,SHOUN MARU No. 51,Longlines (not specified),Japan,JRMX,9011325,319,43.88,IT1-280,AT000JPN00290,ICCAT,,7009,48:49.0,1153,JPN,LO,Liners,LL,LL,LOA,GRT,SHOUN MARU NO. 51,7/31/2007 17:00:00,,,Authorized,7/31/2012 15:00:00,7/30/2017 15:00:00,,,,,3197
367092680,Pole and Line vessels,8/16/2012 1:21:14,12/6/2015 18:29:18,CAROL COLES,Hooks and lines (not specified),United States of America,WDC8764,,90,25,1027964,AT000USA00033,ICCAT,,8753,44:26.0,7377,USA,LO,Liners,LP,LX,LOA,GRT,,,,,Authorized,1/5/2015 18:00:00,12/30/2015 18:00:00,,,,,2094
224049860,Tuna longliners,6/27/2012 23:10:20,12/31/2015 19:43:20,COSTA DO CEO,Drifting longlines,Spain,EA2576,,248.3,26.3,3-VI-73553,4545,CCSBT,,888,00:00.0,193,ESP,LO,Liners,LLT,LLD,UNK,GRT,,,,,Authorized,12/31/2008 8:00:00,12/30/2020 8:00:00,,,,,6479
576687000,Fish carriers,1/3/2012 0:09:37,12/29/2015 14:52:57,Futagami,,Vanuatu,YJQJ8,,2581,88.94,1963,14323,IATTC,,30914,00:00.0,23989,VUT,FO,Fish carriers,FO,,LOA,GT,Hull No. 3345,1/28/2010 3:00:00,PAN,6/12/2010 15:00:00,Unauthorized,,6/14/2010 2:00:00,6/14/2010 2:00:00,2,Expiration of authorization,Explicit CLAV 'DROP' request,
553111734,Tuna purse seiners,9/15/2014 5:46:52,12/31/2015 20:49:17,PACIFIC JOURNEY NO.888,Purse seines,Papua New Guinea,P2V5602,,1408,70.8,1446,11153,WCPFC,,42006,18:01.0,36621,PNG,SO,Seiners,SPT,PS,LOA,GRT,,,,,Authorized,12/31/2014 8:00:00,12/30/2015 8:00:00,,,,,
247053620,Trawlers,10/16/2012 18:00:42,12/31/2015 10:59:43,AURORA,Bottom trawls,Italy,IUJQ,,124,24.32,ITA000002400,ATEU0ITA00035,ICCAT,,10629,43:54.0,8588,ITA,TO,Trawlers,TO,TB,LOA,GT,,,,,Expired,12/31/2005 15:00:00,12/30/2014 15:00:00,,,,,1373
247146010,Trawlers,6/20/2012 23:42:09,11/13/2015 1:14:08,PADRE PEPPINO,Bottom trawls,Italy,INLP,,120,27.59,ITA000010968,ATEU0ITA00467,ICCAT,,10931,43:58.0,8890,ITA,TO,Trawlers,TO,TB,LOA,GT,,,,,Expired,12/31/2005 15:00:00,12/30/2014 15:00:00,,,,,844
432321000,Fishery research vessels,1/13/2012 22:41:41,12/24/2015 22:53:44,SATSUMA SEIUN MARU,Gear not known or not specified,Japan,JIQR,,645,56,KG1-350,887,WCPFC,,24877,09:40.0,15698,JPN,ZO,Fishery research vessels,ZO,UNK,RGL,GRT,,,,,Authorized,5/11/2015 8:00:00,3/16/2016 8:00:00,,,,,
431700260,Longliners,1/1/2012 0:29:00,12/31/2015 23:46:40,SHOEI MARU NO. 7,Longlines (not specified),Japan,JQTN,,,49.99,MG1-1917,4407,IATTC,,4672,00:00.0,1129,JPN,LO,Liners,LL,LL,LOA,,,,,,Authorized,,,,,,,
224261000,Longliners,1/6/2012 6:52:45,12/31/2015 20:38:55,CEDES,Handline and pole-lines (hand operated),Spain,EHQA,8903583,232,31,ESP000020310,ATEU0ESP00479,ICCAT,,9911,10:00.0,95,ESP,LO,Liners,LL,LHP,LOA,GT,,,,,Authorized,12/31/2005 18:00:00,12/30/2015 18:00:00,,,,,491
224055830,Purse seiners,6/25/2013 22:23:22,12/4/2015 6:39:57,CHORROLL DOS,Purse seines,Spain,EA2623,,55.57,21,ESP000022102,ATEU0ESP01220,ICCAT,,10035,28:02.0,20808,ESP,SO,Seiners,SP,PS,LOA,GT,CHORROLL 2,12/31/2010 18:00:00,,,Expired,12/31/2010 15:00:00,12/30/2014 15:00:00,,,,,6769
235004700,Trawlers,5/24/2013 6:17:06,12/31/2015 23:48:49,OCEAN VENTURE,Bottom trawls,United Kingdom,VQBB4,9256822,,61.5,GBR000C17855,ATEU0GBR00258,ICCAT,,10402,00:00.0,8385,GBR,TO,Trawlers,TO,TB,LOA,,,,,,Authorized,12/31/2005 18:00:00,12/30/2015 18:00:00,,,,,388
440926000,Longliners,1/1/2012 0:53:44,12/31/2015 17:25:44,NO.117 DONG WON,Drifting longlines,"Korea, Republic of",6LJK,8827595,597,48.43,9506149-6210005,IOTC000408,IOTC,,11723,34:12.0,259,KOR,LO,Liners,LL,LLD,LOA,GT,,,,,Authorized,3/12/2011 15:00:00,3/11/2016 15:00:00,,,,,67700
367534310,Pole and Line vessels,8/3/2012 6:24:05,12/31/2015 21:11:30,Alison F,Pole and lines,United States of America,WDG4225,8940933,131,24.71,1061147,15246,IATTC,,28765,00:00.0,24740,USA,LO,Liners,LP,PL,LOA,GT,,,,,Authorized,,,,,,,
224098250,Longliners,2/3/2012 13:29:26,12/16/2015 17:03:09,NABOEIRO,Longlines (not specified),Spain,EA5968,,,28,VI-5-16-95,8841,IATTC,,6158,00:00.0,18,ESP,LO,Liners,LL,LL,LOA,,NAVDEIRO,2/20/2011 3:00:00,,,Authorized,,,,,,,
636013649,Fish carriers,1/2/2012 20:07:28,12/31/2015 23:54:32,Humboldt Bay,,Liberia,,8907888,9070,148.52,242-09-NYC,16007,IATTC,,1001010,00:00.0,38660,LBR,FO,Fish carriers,FO,,LOA,GT,,,,,Unauthorized,,12/3/2015 3:00:00,12/3/2015 3:00:00,2,Expiration of authorization,Explicit CLAV 'DROP' request,
431702130,Tuna longliners,4/20/2014 4:28:36,6/19/2015 22:48:16,FUKUYO MARU NO.8,Drifting longlines,Japan,JE3043,,119,31.5,MG1-1806,1515,WCPFC,,20339,51:15.0,12408,JPN,LO,Liners,LLT,LLD,RGL,GRT,,,,,Unauthorized,7/31/2012 8:00:00,7/30/2017 8:00:00,10/16/2015 5:51:15,2,Expiration of authorization,Explicit CLAV 'DROP' request,
224016000,Tuna longliners,1/3/2012 5:36:58,12/31/2015 11:15:18,CELTIC BAY,Gear not known or not specified,Spain,EACH,,172.5,35,ESP000023456,5279,WCPFC,,23946,38:02.0,97,ESP,LO,Liners,LLT,UNK,LOA,GRT,,,,,Authorized,12/31/2005 8:00:00,12/30/2020 8:00:00,,,,,
529089000,Fish carriers,1/1/2012 3:19:17,7/17/2015 5:09:38,SHIN HO CHUN NO. 101,,Panama,3FRF9,9220653,2495,95.2,47182-15,4054,WCPFC,,37519,56:04.0,26687,PAN,FO,Fish carriers,FO,,LOA,GRT,SHIN HO SHUN NO. 101,7/29/2015 20:14:11,KIR,3/10/2014 15:00:00,Authorized,6/30/2015 8:00:00,6/30/2016 8:00:00,,,,,
